flag,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate
9,0,73,0,0,0.99,239,0.94,0,0
5,0,143,1,1,0.07,8,0.03,1,1
9,0,240,0,0,1,203,0.84,0,0
5,0,251,1,1,0.03,10,0.04,1,1
9,0,1,0,0,1,12,0.06,0.01,0
9,0,73,0,0,1,255,1,0,0
5,0,10,1,1,0.5,6,0.02,1,1
5,0,148,1,1,0.08,1,0,1,1
9,1,2,0,0,1,255,1,0.06,0
5,0,125,1,1,0.1,20,0.08,1,1
9,1,5,0,0,1,255,1,0,0
5,0,14,1,1,0.36,45,0.18,1,1
5,0,276,1,1,0.04,12,0.05,1,1
9,0,277,0,0,1,255,1,0,0
9,0,31,0,0,0.32,10,0.04,0.1,0
5,0,278,1,1,0.03,7,0.03,1,1
5,0,190,1,1,0.06,12,0.09,0.89,1
9,0,109,0.01,0,0.01,1,0,0,0
9,0,1,0,0,1,2,0.02,0,0
9,1,24,0,0,1,255,1,0,0.01
9,1,1,0,0,1,134,0.43,0,0
9,1,1,0,0,1,255,1,0,0
9,0,1,0,0,1,2,1,0,0
